City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Hornslet,DK,35.6,broken clouds,56.3155,10.3204,Gl. Løgten Strandkro
Naze,JP,62.24,clear sky,28.3667,129.4833,山羊島ホテル
Newport,GB,44.46,clear sky,51.5877,-2.9984,"Holiday Inn Express Newport, an IHG Hotel"
Graaff-Reinet,ZA,60.93,broken clouds,-32.2522,24.5308,Drostdy Hotel
Jian,CN,46.17,clear sky,27.1172,114.9793,Hampton by Hilton Ji'an
Cortez,US,54.41,clear sky,37.3489,-108.5859,"Holiday Inn Express Mesa Verde-Cortez, an IHG Hotel"
Bud,US,37.85,clear sky,39.447,-86.1758,
Taltal,CL,66.16,overcast clouds,-25.4,-70.4833,Hotel casa blanca
Dharmabad,IN,66.76,clear sky,18.9,77.85,
Niederkassel,DE,39.58,broken clouds,50.8167,7.0333,Hotel CLOSTERMANNS HOF
Raudeberg,NO,36.27,overcast clouds,61.9875,5.1352,Ulvesund FYR
Castricum,NL,37.98,overcast clouds,52.5483,4.6694,Van Der Valk Hotel Akersloot
Lamar,US,56.25,clear sky,33.6668,-95.5836,Days Inn by Wyndham Paris
Agadez,NE,65.34,clear sky,19.75,10.25,
Bulach,CH,35.04,few clouds,47.522,8.5405,Hotel Hori Inn
Sarahan,IN,30.74,clear sky,31.5167,77.8,Hotel The Arjun
Knysna,ZA,59.4,broken clouds,-34.0363,23.0471,aha The Rex Hotel
Riyadh,SA,60.94,clear sky,24.6877,46.7219,"Radisson Blu Hotel, Riyadh"
Russell,US,62.96,moderate rain,32.3502,-85.1999,
Ebensee,AT,33.89,overcast clouds,47.8072,13.779,Hotel Hochsteg Gütl | Traunsee Salzkammergut
Ilmenau,DE,33.13,overcast clouds,50.6833,10.9,Hotel Ilmenauer Hof
Umm Kaddadah,SD,68.31,clear sky,13.6017,26.6876,
Jinka,ET,66.69,scattered clouds,5.65,36.65,
Kabanga,TZ,58.05,broken clouds,-2.6386,30.4678,
Tilbury,GB,40.57,few clouds,51.4625,0.3586,Premier Inn Thurrock East hotel
Eureka,US,51.93,overcast clouds,40.8021,-124.1637,"Holiday Inn Express & Suites Eureka, an IHG Hotel"
Champasak,LA,60.28,few clouds,14.75,106.0,Kingfisher Ecolodge
Tura,IN,61.56,few clouds,25.5198,90.2201,Hotel Polo Orchid
Katsuura,JP,55.18,light rain,35.1333,140.3,Katsuura Hilltop Hotel & Residence
Khowai,IN,68.22,overcast clouds,24.1,91.6333,
Gat,IL,67.91,overcast clouds,31.61,34.7642,Desert Gat
Zanesville,US,36.88,clear sky,39.9404,-82.0132,Hampton Inn Zanesville
Policoro,IT,50.58,overcast clouds,40.2115,16.6726,Miceneo Palace Hotel
Fukue,JP,58.1,scattered clouds,32.6881,128.8419,GOTO TSUBAKI HOTEL
Atar,MR,68.81,overcast clouds,20.5169,-13.0499,les toiles maures
Khasan,RU,31.26,clear sky,42.4308,130.6434,
Nihtaur,IN,58.24,clear sky,29.3333,78.3833,
Millbrook,US,64.47,moderate rain,32.4799,-86.3619,Hampton Inn & Suites Prattville
Funtua,NG,69.64,overcast clouds,11.5233,7.3081,Jamil Hotel
Sehore,IN,60.33,clear sky,23.2,77.0833,Hotel Yashika palace sehore
Chipinge,ZW,69.44,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
Trat,TH,66.7,overcast clouds,12.5,102.5,
Tessalit,ML,69.62,overcast clouds,20.1986,1.0114,
Jiazi,CN,58.24,clear sky,22.8779,116.067,Hotel Jin Hao
Novi Ligure,IT,45.37,clear sky,44.7608,8.7896,Serravalle Golf Hotel Serravalle Scrivia
North Bend,US,52.16,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
Skerries,IE,39.0,clear sky,53.5828,-6.1083,Bracken Court Hotel
Shenjiamen,CN,54.59,clear sky,29.9576,122.298,Hilton Zhoushan
Chima,IN,56.66,clear sky,30.6854,76.0863,
Ibra,OM,62.49,clear sky,22.6906,58.5334,Golden Rays hotel
Oneida,US,50.58,moderate rain,43.2001,-75.4663,Hampton Inn Rome
Yamada,JP,46.29,overcast clouds,39.4667,141.95,Hotel Business Inn Yamada
Brewster,US,57.97,broken clouds,41.3973,-73.6171,Comfort Inn
Ukiah,US,58.44,broken clouds,39.1502,-123.2078,Hampton Inn Ukiah
Portland,US,47.86,light rain,45.5234,-122.6762,The Society Hotel - Portland
Westport,US,58.28,overcast clouds,41.1415,-73.3579,Residence Inn by Marriott Norwalk
Kasempa,ZM,66.96,overcast clouds,-13.4584,25.8338,Comfort Stay Lodge
Healdsburg,US,60.31,overcast clouds,38.6105,-122.8692,Hotel Trio Healdsburg
Shihezi,CN,30.45,overcast clouds,44.3,86.0333,Hanting Hotel
Yuki,JP,51.58,overcast clouds,36.3,139.8833,HOTEL R9 The Yard 結城
Shelbyville,US,48.92,clear sky,35.4834,-86.4603,Microtel Inn & Suites by Wyndham Shelbyville
Lachhmangarh,IN,58.98,clear sky,27.8214,75.0251,Mani Mahal Resort
Beyneu,KZ,38.14,scattered clouds,45.3167,55.2,Hotel Бейнеу
Dengzhou,CN,41.4,clear sky,37.8086,120.7508,Sanxianshan Hotel
Rodeo,US,56.37,mist,38.033,-122.2669,Days Inn by Wyndham Pinole Berkeley
Jasper,US,41.83,scattered clouds,37.2001,-94.3502,Days Inn by Wyndham Carthage
Menongue,AO,66.97,scattered clouds,-14.6585,17.691,Hotel Ritz Lauca
Shimoda,JP,56.1,light rain,34.6667,138.95,Hotel Marseille
Plettenberg Bay,ZA,59.68,broken clouds,-34.0527,23.3716,Sky Villa Boutique Hotel
